area,standard,question_type,question,reason,round
HS-PS1,HS-PS1-1,recall,What is electronegativity?,fk_grade=17.0_out_of_band,1
HS-PS1,HS-PS1-1,recall,What is the octet rule?,fk_grade=0.5_out_of_band,1
HS-PS1,HS-PS1-2,recall,What is electronegativity?,fk_grade=17.0_out_of_band,1
HS-PS1,HS-PS1-2,recall,What is the octet rule?,fk_grade=0.5_out_of_band,1
HS-PS1,HS-PS1-2,recall,What is ionization energy?,fk_grade=15.5_out_of_band,1
HS-PS1,HS-PS1-3,recall,What is an ionic bond?,fk_grade=2.9_out_of_band,1
HS-PS1,HS-PS1-3,recall,What are intermolecular forces?,fk_grade=15.5_out_of_band,1
HS-PS1,HS-PS1-4,recall,What is bond energy?,fk_grade=3.7_out_of_band,1
HS-PS1,HS-PS1-5,recall,What is reaction rate?,fk_grade=3.7_out_of_band,1
HS-PS1,HS-PS1-6,recall,What is chemical equilibrium?,fk_grade=15.5_out_of_band,1
HS-PS1,HS-PS1-8,recall,What does the mass number of an atom represent?,fk_grade=5.0_out_of_band,1
HS-PS1,HS-PS1-3,conceptual,How does a substance's viscosity at room temperature provide evidence about the strength of electrical forces between its molecules?,fk_grade=14.2_out_of_band,1
HS-PS1,HS-PS1-4,conceptual,How does total bond energy in the reactants compared to the products determine whether a reaction absorbs or releases energy?,fk_grade=14.0_out_of_band,1
HS-PS1,HS-PS1-4,conceptual,How does a bond energy diagram (energy-level diagram) illustrate whether a reaction is endothermic or exothermic?,fk_grade=17.2_out_of_band,1
HS-PS1,HS-PS1-5,conceptual,How does increasing temperature affect both the frequency of collisions and the energy of collisions between reactant particles?,fk_grade=15.0_out_of_band,1
HS-PS1,HS-PS1-7,conceptual,Why is it important to account for all gases produced or consumed when verifying conservation of mass in a chemical reaction done in an open container?,fk_grade=15.0_out_of_band,1
HS-PS1,HS-PS1-8,conceptual,"Why does nuclear fission of a heavy nucleus like uranium-235 release energy, while fusing two heavy nuclei would actually require energy?",fk_grade=16.8_out_of_band,1
HS-PS1,HS-PS1-8,conceptual,Why are some atomic nuclei unstable and undergo radioactive decay while others are stable?,fk_grade=14.3_out_of_band,1
