question_id,area,question_type,fraction_correct,discrimination,trivial,broken
HS-ESS1-002,HS-ESS1,recall,0.481,0.419,0,0
HS-ESS1-028,HS-ESS1,conceptual,0.593,0.378,0,0
HS-ESS1-066,HS-ESS1,applied,0.593,0.305,0,0
HS-ESS1-073,HS-ESS1,applied,0.593,0.466,0,0
HS-ESS1-052,HS-ESS1,conceptual,0.63,0.399,0,0
HS-ESS1-057,HS-ESS1,applied,0.63,0.399,0,0
HS-ESS1-064,HS-ESS1,applied,0.63,0.429,0,0
HS-ESS1-065,HS-ESS1,applied,0.63,0.331,0,0
HS-ESS1-049,HS-ESS1,conceptual,0.667,0.351,0,0
HS-ESS1-085,HS-ESS1,applied,0.704,0.367,0,0
HS-ESS1-011,HS-ESS1,recall,0.741,0.378,0,0
HS-ESS1-041,HS-ESS1,conceptual,0.741,0.343,0,0
HS-ESS1-042,HS-ESS1,conceptual,0.741,0.305,0,0
HS-ESS1-053,HS-ESS1,conceptual,0.741,0.262,0,0
HS-ESS1-078,HS-ESS1,applied,0.741,0.21,0,0
HS-ESS1-014,HS-ESS1,recall,0.778,0.314,0,0
HS-ESS1-040,HS-ESS1,conceptual,0.778,0.272,0,0
HS-ESS1-046,HS-ESS1,conceptual,0.778,0.222,0,0
HS-ESS1-048,HS-ESS1,conceptual,0.778,0.314,0,0
HS-ESS1-056,HS-ESS1,applied,0.778,0.222,0,0
HS-ESS1-072,HS-ESS1,applied,0.778,0.416,0,0
HS-ESS1-086,HS-ESS1,applied,0.778,0.272,0,0
HS-ESS1-090,HS-ESS1,conceptual,0.778,0.314,0,0
HS-ESS1-044,HS-ESS1,conceptual,0.815,0.319,0,0
HS-ESS1-061,HS-ESS1,applied,0.815,0.228,0,0
HS-ESS1-068,HS-ESS1,applied,0.815,0.355,0,0
HS-ESS1-069,HS-ESS1,applied,0.815,0.228,0,0
HS-ESS1-079,HS-ESS1,applied,0.815,0.277,0,0
HS-ESS1-013,HS-ESS1,recall,0.852,0.319,0,0
HS-ESS1-039,HS-ESS1,conceptual,0.852,0.166,0,0
HS-ESS1-050,HS-ESS1,conceptual,0.852,0.228,0,0
HS-ESS1-075,HS-ESS1,applied,0.852,0.166,0,0
HS-ESS1-016,HS-ESS1,recall,0.889,0.157,0,0
HS-ESS1-019,HS-ESS1,recall,0.889,0.222,0,0
HS-ESS1-029,HS-ESS1,conceptual,0.889,0.222,0,0
HS-ESS1-031,HS-ESS1,conceptual,0.889,0.314,0,0
HS-ESS1-034,HS-ESS1,conceptual,0.889,0.157,0,0
HS-ESS1-038,HS-ESS1,conceptual,0.889,0.222,0,0
HS-ESS1-045,HS-ESS1,conceptual,0.889,0.222,0,0
HS-ESS1-055,HS-ESS1,conceptual,0.889,0.222,0,0
HS-ESS1-070,HS-ESS1,applied,0.889,0.222,0,0
