question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade,judge_Gemini Flash 3,judge_Nemotron 3 Super 120b a12,judge_OSS 120b,rationale_Gemini Flash 3,rationale_Nemotron 3 Super 120b a12,rationale_OSS 120b,majority_label,human_review_flag
HS-ESS1-001,HS-ESS1,HS-ESS1-1,recall,What is nuclear fusion?,"Nuclear fusion is a process in which two light atomic nuclei combine to form a heavier nucleus, releasing a large amount of energy in the process.",claude-4.6-sonnet-thinking,6.62,1,1,1,The reference answer provides a scientifically accurate and concise definition of nuclear fusion that directly addresses the question within the context of the high school standard.,"The answer accurately defines nuclear fusion as the combination of light nuclei into a heavier nucleus with energy release, which is correct and sufficient for the question.","The answer correctly defines nuclear fusion as the merging of light nuclei into a heavier one with energy release, which adequately answers the question.",1,0
HS-ESS1-006,HS-ESS1,HS-ESS1-2,recall,What is cosmic microwave background radiation?,"Cosmic microwave background (CMB) radiation is the faint thermal radiation left over from the early hot, dense state of the universe shortly after the Big Bang, and it is detected uniformly in all directions across the sky.",claude-4.6-sonnet-thinking,12.32,1,1,1,"The answer accurately defines CMB radiation, its origin in the early universe, and its observed uniformity, which aligns with the evidence-based requirements of the HS-ESS1-2 standard.","The answer accurately defines CMB radiation and correctly links it to the early hot, dense state of the universe after the Big Bang, which satisfies the standard's requirement for evidence-based explanation.","The answer accurately defines the CMB as relic thermal radiation from the early hot, dense universe and notes its uniform detection, satisfying the question.",1,0
HS-ESS1-011,HS-ESS1,HS-ESS1-3,recall,What two elements are fused together in the core of a main-sequence star like our Sun?,"In the core of a main-sequence star like the Sun, hydrogen nuclei (protons) are fused together to form helium.",claude-4.6-sonnet-thinking,7.61,1,1,1,The answer accurately identifies that hydrogen is the primary element undergoing fusion and that helium is the resulting product in a main-sequence star like the Sun.,"The answer correctly states that hydrogen nuclei (protons) fuse together in the Sun's core to form helium, directly identifying the two elements involved.","The answer correctly identifies hydrogen nuclei as the two elements that fuse in the Sun's core, noting they form helium, which fully addresses the question.",1,0
HS-ESS1-028,HS-ESS1,HS-ESS1-1,conceptual,How does the energy produced by fusion in the sun's core eventually reach Earth?,"Energy from fusion travels outward from the core first as radiation (photons), then through convection in the outer layers, and finally leaves the sun's surface as electromagnetic radiation (primarily visible light, infrared, and ultraviolet). This radiation travels through the vacuum of space and reaches Earth in about 8 minutes.",claude-4.6-sonnet-thinking,8.41,1,1,1,The answer accurately describes the internal transport mechanisms of radiation and convection and the subsequent travel of electromagnetic radiation through space as required by the standard.,"The answer correctly describes the transport of fusion‑generated energy from the Sun's core via radiation and convection to the surface, its emission as electromagnetic radiation, and its ~8‑minute travel to Earth, which satisfies the standard.","The answer accurately describes the transport of fusion energy from the core outward via radiation and convection, its emission as electromagnetic radiation, and its travel to Earth, fulfilling the standard.",1,0
HS-ESS1-033,HS-ESS1,HS-ESS1-2,conceptual,Why do scientists use the redshift of light from distant galaxies as evidence that the universe is expanding?,"When a galaxy moves away from us, the light waves it emits are stretched to longer, redder wavelengths—a phenomenon called redshift. The greater the redshift, the faster the galaxy is receding, which shows that galaxies are moving apart and the universe is expanding.",claude-4.6-sonnet-thinking,11.1,1,1,1,"The answer accurately explains how redshift results from galaxies moving away and how this recession provides evidence for the expansion of the universe, directly addressing the question and standard.","The answer correctly describes how redshift indicates galactic recession due to cosmic expansion, directly answering the question.","The answer correctly explains that redshift indicates galaxies are moving away, providing evidence for universal expansion, which satisfies the question.",1,0
HS-ESS1-039,HS-ESS1,HS-ESS1-3,conceptual,Why are heavier elements like carbon and oxygen only produced inside stars rather than during the Big Bang?,"The Big Bang produced only hydrogen, helium, and trace lithium because temperatures cooled too quickly for heavier fusion reactions to occur. Stars sustain the extreme temperatures and pressures needed to fuse heavier nuclei over millions to billions of years.",claude-4.6-sonnet-thinking,11.1,1,1,1,The answer accurately contrasts the rapid cooling of the early universe with the sustained high-temperature and high-pressure environments in stars that allow for the fusion of heavier elements.,"The answer correctly explains that the Big Bang's rapid cooling prevented heavier fusion, while stars provide the sustained high temperature and pressure needed to produce elements like carbon and oxygen over long timescales, which aligns with the standard.","The answer correctly explains that the early universe cooled too fast for heavy-element fusion, while stars provide the sustained high temperatures and pressures needed to form carbon and oxygen.",1,0
HS-ESS1-056,HS-ESS1,HS-ESS1-1,applied,"During a solar flare, extra energy is released from the Sun and reaches Earth as increased radiation. Using your knowledge of fusion and energy transport, explain why this extra energy still takes about 8 minutes to arrive at Earth.","Energy released by fusion ultimately travels as electromagnetic radiation (light) from the Sun's surface, and at the speed of light it takes approximately 8 minutes to cross the 150 million km distance between the Sun and Earth.",claude-4.6-sonnet-thinking,11.08,1,1,1,"The answer correctly explains that the energy travels as electromagnetic radiation at the speed of light, which is the physical reason for the 8-minute travel time across the Sun-Earth distance.","The answer correctly states that flare‑released energy travels as electromagnetic radiation at the speed of light, taking ~8 minutes to cover the ~150 million km Sun‑Earth distance, which addresses the question adequately.","The answer correctly explains that flare energy is emitted as electromagnetic radiation that travels at light speed, requiring ~8 minutes to cover the Sun‑Earth distance.",1,0
HS-ESS1-058,HS-ESS1,HS-ESS1-2,applied,"If you detect that Galaxy A is twice as far from Earth as Galaxy B, how would their recession speeds compare according to Hubble's Law?","Galaxy A would be receding from Earth at approximately twice the speed of Galaxy B. Hubble's Law states that a galaxy's recession speed is proportional to its distance, so doubling the distance doubles the recession speed.",claude-4.6-sonnet-thinking,11.15,1,1,1,"The answer accurately applies the linear relationship defined by Hubble's Law, where recession velocity is directly proportional to distance.","The answer correctly applies Hubble's Law, stating that recession speed is proportional to distance, so a galaxy twice as distant recedes at roughly twice the speed.","The answer correctly states that recession speed is proportional to distance, so a galaxy twice as far recedes at twice the speed, fully addressing the question.",1,0
HS-ESS1-064,HS-ESS1,HS-ESS1-3,applied,"If a star has only about twice the mass of the Sun, predict whether it will produce iron in its core before it dies, and explain why.","No, a star with only about twice the mass of the Sun will not produce iron; it lacks the mass needed to reach the extreme temperatures required for carbon, oxygen, and heavier element fusion. It will end its life as a white dwarf after fusing elements up to roughly carbon and oxygen.",claude-4.6-sonnet-thinking,10.24,1,1,1,The answer accurately states that a star with twice the Sun's mass lacks the necessary temperature for fusion beyond carbon and oxygen and will not produce iron.,"The answer correctly states that a ~2‑solar‑mass star lacks the mass to achieve the temperatures required for iron‑producing fusion and will end as a carbon‑oxygen white dwarf, directly addressing the prediction and explanation.","The answer correctly predicts no iron production for a ~2 M☉ star and explains it by insufficient mass/temperature, noting it ends as a white dwarf.",1,0
HS-ESS1-070,HS-ESS1,HS-ESS1-4,applied,"An asteroid is discovered with an average orbital radius of 4 AU. Using Kepler's third law (T² = a³), approximately how long does it take this asteroid to orbit the Sun?","Using T² = a³, T² = 4³ = 64, so T = 8 years. The asteroid takes approximately 8 Earth years to complete one orbit around the Sun.",claude-4.6-sonnet-thinking,9.53,1,1,1,"The calculation correctly applies Kepler's Third Law (4 cubed is 64, and the square root of 64 is 8) to determine the orbital period in years.","The answer correctly applies Kepler's third law (T² = a³) with a = 4 AU to compute T = 8 years, providing a clear mathematical prediction of the asteroid's orbital period as required by the standard.",The answer correctly applies Kepler's third law and calculates the orbital period as approximately 8 Earth years.,1,0
HS-ESS2-001,HS-ESS2,HS-ESS2-1,recall,What is the name of the process by which oceanic crust is created at mid-ocean ridges?,"The process is called seafloor spreading. Molten rock (magma) rises from the mantle at mid-ocean ridges, cools, and forms new oceanic crust that moves outward from the ridge.",claude-4.6-sonnet-thinking,9.09,1,1,1,The answer accurately identifies seafloor spreading as the process and correctly explains how magma forms new crust at mid-ocean ridges.,The answer correctly identifies seafloor spreading as the process and provides an accurate description of how oceanic crust forms at mid‑ocean ridges.,The answer correctly identifies the process as seafloor spreading and adequately explains how new oceanic crust forms at mid-ocean ridges.,1,0
HS-ESS2-004,HS-ESS2,HS-ESS2-2,recall,What is a positive feedback loop in Earth's climate system?,"A positive feedback loop is one in which an initial change triggers responses that amplify or reinforce the original change, pushing the system further in the same direction. For example, melting ice reduces albedo, causing more warming, which melts more ice.",claude-4.6-sonnet-thinking,6.01,1,1,1,"The answer provides a scientifically accurate definition of a positive feedback loop and a relevant, clear example involving the ice-albedo feedback mechanism.","The answer accurately defines a positive feedback loop and provides a correct Earth‑surface example (ice‑albedo feedback) that illustrates how a surface change can amplify climate system changes, satisfying the standard.","The answer accurately defines a positive feedback loop and provides a relevant climate example, fully addressing the question.",1,0
HS-ESS2-006,HS-ESS2,HS-ESS2-3,recall,What is the primary source of heat that drives convection currents in Earth's mantle?,The primary heat sources are the decay of radioactive isotopes within Earth's interior and residual heat left over from Earth's formation.,claude-4.6-sonnet-thinking,6.73,1,1,1,The answer accurately identifies the two main contributors to Earth's internal heat budget that drive mantle convection: radiogenic heat and primordial heat.,"The answer correctly identifies radiogenic isotope decay and residual primordial heat as the primary heat sources driving mantle convection, which aligns with the scientific understanding required by the standard.","The answer correctly identifies radioactive decay and residual primordial heat as the main drivers of mantle convection, matching the expected explanation.",1,0
HS-ESS2-025,HS-ESS2,HS-ESS2-1,conceptual,Why do tectonic plates move across Earth's surface?,"Tectonic plates move because heat from Earth's interior drives convection currents in the mantle, where hot material rises, spreads, and sinks as it cools, dragging the overlying plates along with it.",claude-4.6-sonnet-thinking,5.23,1,1,1,"The answer accurately identifies mantle convection driven by internal heat as the primary mechanism for plate motion, which is appropriate for the high-school level.","The answer correctly identifies mantle convection driven by Earth's internal heat as the primary cause of plate motion, which aligns with the standard's focus on internal processes.","The answer correctly explains plate motion as driven by mantle convection caused by Earth's internal heat, which is an adequate explanation for the question.",1,0
HS-ESS2-030,HS-ESS2,HS-ESS2-2,conceptual,"Why does melting Arctic sea ice cause the ocean to absorb even more heat, leading to further warming?","Sea ice is white and reflects most incoming solar radiation (high albedo), but the dark ocean water exposed when ice melts absorbs far more heat instead of reflecting it. This extra heat warms the water further, melting even more ice in a self-reinforcing positive feedback loop known as the ice-albedo feedback.",claude-4.6-sonnet-thinking,8.47,1,1,1,The answer accurately explains the ice-albedo feedback mechanism by contrasting the reflectivity of ice with the absorptive nature of open water and correctly identifies it as a positive feedback loop.,The answer correctly describes the ice‑albedo feedback mechanism linking melting sea ice to increased solar absorption and further warming.,"The answer correctly explains the ice‑albedo feedback: melting ice exposes darker ocean water that absorbs more solar energy, amplifying warming.",1,0
HS-ESS2-035,HS-ESS2,HS-ESS2-3,conceptual,Why does hot rock in the mantle rise toward Earth's surface even though it is solid?,"Even solid rock becomes slightly less dense when heated, causing it to rise buoyantly through the surrounding denser, cooler rock. This slow movement is possible because mantle rock behaves plastically over millions of years.",claude-4.6-sonnet-thinking,6.14,1,1,1,The answer accurately explains that thermal expansion reduces density to create buoyancy and that the mantle's plastic behavior allows for solid-state flow over geologic time.,"The answer correctly explains that heated mantle rock expands, becomes less dense, and rises buoyantly, and notes that solid mantle behaves plastically over millions of years, allowing slow convective flow.","The answer correctly explains that heating reduces rock density, creating buoyancy, and notes the mantle's plastic behavior allowing solid rock to convect over geologic time.",1,0
