question_id,area,standard,question_type,question,reference_answer,majority_label,judge_Nemotron 3 Super 120b a12,judge_Gemini Flash 3,judge_OSS 120b,rationale_Gemini Flash 3,rationale_Nemotron 3 Super 120b a12,rationale_OSS 120b,drop_reason
HS-PS1-067,HS-PS1,HS-PS1-2,applied,"Carbon dioxide (CO₂) forms when carbon burns in excess oxygen, but carbon monoxide (CO) forms when oxygen is limited. Using electron sharing, predict which product is more stable and why.","CO₂ is more stable because carbon forms four covalent bonds (two double bonds with two oxygen atoms), fully using its four outermost electrons and satisfying the octet for all atoms involved. In CO, carbon only forms a triple bond with one oxygen atom and does not fully satisfy its bonding capacity, making it less stable and more reactive.",0,0,1,0,The answer correctly identifies CO₂ as the more stable product and provides a clear explanation based on carbon's valence electrons and the typical pattern of carbon forming four covalent bonds to reach its most stable state.,"The reference answer incorrectly states that carbon in CO does not fully satisfy its bonding capacity and ignores that CO also meets the octet rule, undermining the explanation despite correctly identifying CO₂ as more stable.","The answer misstates CO's bonding, claiming carbon's bonding capacity is unsatisfied, which is inaccurate, so the explanation is misleading and incomplete.",judge_disagreement
HS-PS3-008,HS-PS3,HS-PS3-2,recall,What is the difference between temperature and thermal energy?,"Temperature measures the average kinetic energy of the particles in a substance, while thermal energy is the total kinetic energy of all the particles. A larger object can have more thermal energy than a smaller one even at the same temperature.",0,0,0,1,"The reference answer is inadequate for standard HS-PS3-2 because it defines thermal energy as only the total kinetic energy, omitting the energy associated with the relative position of particles (potential energy).","The answer correctly notes temperature as average kinetic energy and thermal energy as total kinetic energy, but it omits the potential‑energy component that the standard requires to account for macroscopic energy as both motion and position energies, making it inadequate.","The answer correctly distinguishes temperature as average kinetic energy per particle from thermal energy as the total kinetic energy of all particles, providing a complete high‑school level explanation.",judge_disagreement
HS-PS3-033,HS-PS3,HS-PS3-2,conceptual,"Why does a gas expand to fill its container, and how does this relate to particle energy?","Gas particles are in constant random motion (kinetic energy), so they naturally spread out and collide with all walls of the container. Their kinetic energy drives them to move in all directions, filling the available space.",0,1,0,0,"The answer only addresses the motion of particles (kinetic energy) and fails to include the energy associated with the relative position of particles (potential energy), which is a required component of standard HS-PS3-2.","The answer correctly attributes gas expansion to the kinetic energy of particles moving randomly, which aligns with the standard's focus on particle motion energy as a component of macroscopic energy.","The answer only mentions kinetic energy and omits discussion of the energy related to particle positions, which is required by the standard.",judge_disagreement
HS-PS3-034,HS-PS3,HS-PS3-2,conceptual,How can two objects at the same temperature have different amounts of thermal energy?,"Thermal energy depends on both the average kinetic energy per particle (temperature) and the total number of particles. A larger or denser object has more particles, so even at the same temperature it contains more total thermal energy.",1,0,1,1,"The answer accurately explains that thermal energy is an extensive property dependent on the total number of particles, whereas temperature is an intensive property reflecting the average kinetic energy per particle.","The answer correctly notes that thermal energy depends on particle count and average kinetic energy, but omits the potential energy component of internal energy, making it incomplete for the standard which requires accounting for both motion and position energies.","The answer correctly explains that identical temperatures mean equal average kinetic energy per particle, but total thermal energy varies with the number of particles, accounting for differences between objects.",judge_disagreement
HS-PS3-047,HS-PS3,HS-PS3-5,conceptual,Why do two positive charges repel each other even when they are not physically touching?,"Each positive charge creates an electric field in the space around it. When two positive charges are near each other, each charge experiences a force from the other's electric field, and because the fields point in the same direction, the force pushes the charges apart.",0,0,0,1,"The explanation is scientifically inaccurate because the electric fields of two positive charges point in opposite directions relative to each other, and the answer fails to address the changes in energy required by the standard.","The answer incorrectly claims the electric fields point in the same direction; in reality, each charge experiences a field from the other that points away from that other charge, producing a repulsive force.","The answer correctly explains repulsion using electric fields and the resulting forces, providing a valid model consistent with the standard.",judge_disagreement
HS-PS3-078,HS-PS3,HS-PS3-4,applied,"Two identical styrofoam cups — one holding hot tea at 90°C and one holding iced water at 0°C — are combined into a larger insulated container. Predict whether the final temperature will be closer to 0°C, 45°C, or 90°C, and explain why.","The final temperature will be approximately 45°C, roughly halfway between the two starting temperatures. Because the cups hold equal masses of water with the same specific heat, the energy lost by the hot tea equals the energy gained by the iced water, yielding an intermediate equilibrium.",1,1,0,1,"The term 'iced water' implies the presence of ice, which requires significant latent heat to melt, meaning the final equilibrium temperature would be much lower than the 45°C predicted by the reference answer.","The answer correctly states that with equal masses and identical specific heat, the equilibrium temperature is the average of 90°C and 0°C, i.e., about 45°C, which satisfies the standard's requirement.","The answer correctly predicts an intermediate temperature (~45 °C) and provides a valid explanation based on equal masses and heat exchange, satisfying the question and standard.",judge_disagreement
HS-PS3-085,HS-PS3,HS-PS3-5,applied,An electron moves toward a negatively charged metal plate. Predict what the electric field does to the electron before it reaches the plate.,"The electric field from the negatively charged plate points toward the plate (away from the surface outward for negative plate, actually the field points away from negative), so the field exerts a repulsive force on the electron, slowing it down and converting its kinetic energy back into electric potential energy.",0,0,0,1,"The answer contains a factual error stating that the electric field points away from a negative charge, when it actually points toward it.","The answer incorrectly describes the electric field direction for a negatively charged plate and includes contradictory statements, making it inaccurate and insufficient.","The answer correctly states that the field of a negatively charged plate points toward the plate, exerts a repulsive force on the electron, and decelerates it, converting kinetic energy to electric potential energy.",judge_disagreement
HS-PS4-024,HS-PS4,HS-PS4-1,conceptual,Why do high-frequency waves have more energy than low-frequency waves of the same type?,"Higher frequency means more wave oscillations occur per second, and each oscillation carries energy. For electromagnetic waves in particular, energy is proportional to frequency (E = hf), so higher frequency corresponds to greater energy per photon or per wave cycle.",1,0,1,1,"The answer accurately explains the physical basis for the frequency-energy relationship in both mechanical and electromagnetic contexts, which is scientifically sound for the high school level.","The answer does not mention or use mathematical representations of the relationships among frequency, wavelength, and speed required by HS‑PS4‑1, making it incomplete for the standard.","The answer correctly explains that higher frequency means more oscillations and that energy is proportional to frequency (E = hf), providing a valid scientific explanation.",judge_disagreement
HS-LS1-049,HS-LS1,HS-LS1-1,applied,A scientist inserts the human insulin gene into bacteria. Predict what protein the bacteria will produce and why.,The bacteria will produce human insulin because they use the same genetic code to translate DNA into protein. The inserted gene provides the DNA sequence that bacterial ribosomes transcribe and translate into the correct amino acid sequence for insulin.,1,1,0,1,"The answer contains a significant biological error by stating that ribosomes transcribe DNA, whereas transcription is performed by RNA polymerase and ribosomes only perform translation.","The answer correctly explains that bacteria will produce human insulin because they share the universal genetic code and can transcribe and translate the inserted gene into the insulin amino acid sequence, which aligns with HS-LS1-1.",The answer correctly predicts that the bacteria will produce human insulin and explains that the shared genetic code allows the inserted DNA to be transcribed and translated into the insulin protein.,judge_disagreement
HS-LS2-014,HS-LS2,HS-LS2-1,conceptual,How does the introduction of an invasive species lower the carrying capacity for native species?,"Invasive species compete with native species for the same limited resources—such as food, water, or territory—reducing the share available to natives, which lowers the number of native individuals the ecosystem can support.",1,0,1,1,The answer correctly identifies competition for limited resources as the primary mechanism by which invasive species reduce the carrying capacity for native populations.,The answer correctly describes resource competition but does not include a mathematical or computational representation to support the explanation as required by HS‑LS2‑1.,"The answer correctly explains that invasive species compete for limited resources, reducing the resources available to natives and thus lowering their carrying capacity.",judge_disagreement
