question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade,judge_Gemini Flash 3,judge_Nemotron 3 Super 120b a12,judge_OSS 120b,rationale_Gemini Flash 3,rationale_Nemotron 3 Super 120b a12,rationale_OSS 120b,majority_label,human_review_flag
HS-PS1-001,HS-PS1,HS-PS1-1,recall,What are the electrons in the outermost energy level of an atom called?,The electrons in the outermost energy level are called valence electrons. They are the electrons most involved in chemical bonding and reactions.,claude-4.6-sonnet-thinking,8.54,1,1,1,"The reference answer correctly identifies the electrons as valence electrons and explains their significance in chemical reactions, which is central to understanding periodic trends in the HS-PS1-1 standard.",The answer correctly identifies the outermost electrons as valence electrons and provides appropriate supporting detail.,"The answer correctly identifies outermost electrons as valence electrons and provides a brief, accurate description.",1,0
HS-PS1-002,HS-PS1,HS-PS1-1,recall,What does the group number of a main-group element tell you about its valence electrons?,"For main-group elements, the group number tells you how many valence electrons the atom has. For example, elements in Group 1 have 1 valence electron, and elements in Group 17 have 7 valence electrons.",claude-4.6-sonnet-thinking,8.35,1,1,1,The answer accurately describes the relationship between group numbers and valence electron counts for main-group elements and provides a clarifying example for groups 13-18.,"The reference answer correctly states that for main-group elements the group number equals the number of valence electrons, giving appropriate examples, which fully answers the question.",The answer correctly states that the group number equals the number of valence electrons for main-group elements and provides accurate examples.,1,0
HS-PS1-003,HS-PS1,HS-PS1-1,recall,What is the term for the energy required to remove an electron from a neutral gaseous atom?,This energy is called ionization energy. It is the minimum energy needed to remove the most loosely held electron from an atom in its gaseous state.,claude-4.6-sonnet-thinking,10.48,1,1,1,"The reference answer correctly identifies and defines ionization energy, which is a key periodic property related to the electron patterns addressed in standard HS-PS1-1.","The answer correctly identifies ionization energy as the energy required to remove an electron from a neutral gaseous atom, matching the standard's focus on periodic trends.",The answer correctly identifies the term as ionization energy and accurately defines it as the minimum energy to remove an electron from a neutral gaseous atom.,1,0
HS-PS1-004,HS-PS1,HS-PS1-1,recall,"What name is given to the elements in Group 18 of the periodic table, and why are they considered stable?","The elements in Group 18 are called noble gases. They are considered stable because their outermost energy level is completely full, giving them little tendency to gain, lose, or share electrons.",claude-4.6-sonnet-thinking,9.91,1,1,1,"The answer accurately identifies the group as noble gases and correctly explains their stability through the presence of a full outermost energy level, which aligns perfectly with HS-PS1-1.","The answer correctly identifies the group 18 elements as noble gases and explains their stability due to a full outer electron shell, which satisfies HS-PS1-1.","The answer correctly names Group 18 as noble gases and explains their stability by the full outer electron shell, fully addressing the question.",1,0
HS-PS1-005,HS-PS1,HS-PS1-1,recall,What is electron affinity?,"Electron affinity is the energy change that occurs when a neutral gaseous atom gains an electron to form a negative ion. Elements with high electron affinity, such as halogens, readily attract additional electrons.",claude-4.6-sonnet-thinking,12.52,1,1,1,"The answer correctly defines electron affinity and connects it to periodic trends by citing halogens, which aligns with the requirement of predicting properties based on the periodic table.","The answer accurately defines electron affinity as the energy change when a neutral gaseous atom gains an electron and notes halogens as high‑affinity elements, which is correct and sufficient for the question.","The answer accurately defines electron affinity and notes the trend of high affinity in halogens, meeting the standard.",1,0
HS-PS1-006,HS-PS1,HS-PS1-2,recall,How many valence electrons does an element in Group 17 (the halogens) have?,"Elements in Group 17, the halogens, have seven valence electrons. Because they need only one more electron to complete their outer shell, halogens are highly reactive and tend to gain one electron in chemical reactions.",claude-4.6-sonnet-thinking,7.63,1,1,1,The answer accurately identifies that Group 17 elements have seven valence electrons and correctly explains how this configuration influences their reactivity and chemical behavior.,"The reference answer correctly states that Group 17 elements have seven valence electrons and adds relevant explanatory context, fully addressing the question.","The answer correctly states that Group 17 elements have seven valence electrons, directly addressing the question.",1,0
HS-PS1-007,HS-PS1,HS-PS1-3,recall,What does a substance's melting point tell you about the strength of the forces between its particles?,"A higher melting point indicates stronger electrical forces between particles, because more energy (heat) is required to overcome those attractions and change the substance from solid to liquid.",claude-4.6-sonnet-thinking,7.7,1,1,1,The answer correctly identifies that higher melting points correlate with stronger interparticle forces and explains the relationship in terms of the energy required to overcome those attractions.,"The answer correctly states that a higher melting point reflects stronger intermolecular/electrical forces because more thermal energy is needed to break them, which aligns with the standard's goal.","The answer correctly explains that a higher melting point reflects stronger intermolecular (electrical) forces, matching the standard.",1,0
HS-PS1-008,HS-PS1,HS-PS1-3,recall,"What is a covalent network solid, and how does it differ from a molecular solid?","A covalent network solid (such as diamond or quartz) is a substance in which atoms are connected by covalent bonds throughout the entire structure, forming one giant network. A molecular solid, by contrast, consists of individual molecules held together by weaker intermolecular forces.",claude-4.6-sonnet-thinking,9.14,1,1,1,"The answer accurately defines both types of solids and correctly distinguishes between the strong covalent bonds in network solids and the weaker intermolecular forces in molecular solids, which aligns with the standard's focus on particle-level electrical forces.","The answer correctly defines a covalent network solid and contrasts it with a molecular solid, meeting the standard's requirement.",The answer accurately defines covalent network solids as extended covalent structures and correctly contrasts them with molecular solids held together by weaker intermolecular forces.,1,0
HS-PS1-009,HS-PS1,HS-PS1-3,recall,What is hydrogen bonding?,"Hydrogen bonding is a relatively strong type of intermolecular force that occurs when a hydrogen atom covalently bonded to a highly electronegative atom (such as N, O, or F) is attracted to a lone pair on another electronegative atom nearby.",claude-4.6-sonnet-thinking,6.62,1,1,1,"The answer provides a scientifically accurate and complete definition of hydrogen bonding, correctly identifying the specific atoms involved and the nature of the intermolecular attraction.","The reference answer correctly defines hydrogen bonding as a relatively strong intermolecular force involving hydrogen covalently bonded to N, O, or F attracted to a lone pair on another electronegative atom, which is accurate and sufficiently complete for the standard.","The answer correctly defines hydrogen bonding with key details about the electronegative atoms and lone pairs, matching the expected response.",1,0
HS-PS1-010,HS-PS1,HS-PS1-3,recall,"What property describes how well a solid resists being scratched, and how does it relate to the forces between particles?",Hardness describes a solid's resistance to scratching. Substances with stronger electrical forces between their particles (such as ionic solids or covalent network solids) are generally harder because more force is required to displace the tightly held particles.,claude-4.6-sonnet-thinking,10.5,1,1,1,"The answer correctly identifies hardness as the resistance to scratching and accurately explains its relationship to the strength of electrical forces between particles, which directly addresses the standard.","The answer correctly identifies hardness as the resistance to scratching and explains that stronger interparticle electrical forces result in greater hardness, directly linking bulk‑scale property to particle‑level forces as required by the standard.","The answer correctly names hardness and explains that stronger electrical forces between particles make a solid harder, addressing both parts of the question.",1,0
HS-PS1-011,HS-PS1,HS-PS1-4,recall,Does breaking a chemical bond require energy or release energy?,Breaking a chemical bond requires energy (it is an endothermic process). Energy must be absorbed to overcome the attractive forces holding the two atoms together.,claude-4.6-sonnet-thinking,11.91,1,1,1,"The answer accurately states that breaking a chemical bond is an endothermic process requiring energy to overcome attractive forces, which is a foundational concept for the standard.","The answer correctly states that breaking a chemical bond requires energy (endothermic) and explains why, which directly addresses the question and aligns with the bond‑energy concept in HS‑PS1-4.","The answer correctly states that breaking a chemical bond requires an input of energy, which aligns with the standard's focus on energy absorption during bond breaking.",1,0
HS-PS1-012,HS-PS1,HS-PS1-4,recall,What is an exothermic reaction in terms of bond energy?,"An exothermic reaction is one in which the energy released by forming new bonds in the products is greater than the energy required to break the bonds in the reactants, resulting in a net release of energy to the surroundings.",claude-4.6-sonnet-thinking,8.37,1,1,1,"The answer correctly defines an exothermic reaction by comparing the energy required to break bonds with the energy released during bond formation, which aligns perfectly with the HS-PS1-4 standard.","The answer correctly defines an exothermic reaction in terms of bond energies, stating that energy released from forming new bonds exceeds energy required to break reactant bonds, which aligns with the bond‑energy concept in HS‑PS1‑4.",The answer correctly describes an exothermic reaction as having net energy release because product bond formation releases more energy than is consumed breaking reactant bonds.,1,0
HS-PS1-013,HS-PS1,HS-PS1-4,recall,What is the formula for calculating the overall energy change (ΔH) of a reaction using bond energies?,"ΔH = (total energy required to break reactant bonds) − (total energy released by forming product bonds). A negative ΔH indicates an exothermic reaction, while a positive ΔH indicates an endothermic reaction.",claude-4.6-sonnet-thinking,12.56,1,1,1,The formula correctly identifies the relationship between bond breaking and bond forming energies and accurately describes the sign convention for endothermic and exothermic reactions.,The answer correctly states ΔH = (energy to break reactant bonds) − (energy released forming product bonds) and explains the sign convention for exothermic and endothermic reactions.,The answer correctly states the bond-energy formula ΔH = Σ(broken bond energies) – Σ(formed bond energies) and clarifies the sign convention.,1,0
HS-PS1-014,HS-PS1,HS-PS1-5,recall,What is activation energy?,Activation energy is the minimum amount of energy that colliding particles must have in order to start a chemical reaction and form products.,claude-4.6-sonnet-thinking,12.52,1,1,1,The definition provided is scientifically accurate and covers the essential components of activation energy within the context of collision theory and chemical kinetics.,The answer correctly defines activation energy as the minimum energy that colliding particles must have to initiate a chemical reaction and form products.,The answer correctly defines activation energy as the minimum energy required for reacting particles to undergo a chemical reaction.,1,0
HS-PS1-015,HS-PS1,HS-PS1-5,recall,How does increasing the temperature of a reaction generally affect its rate?,"Increasing temperature increases the reaction rate because particles move faster, collide more frequently, and more collisions have enough energy to meet or exceed the activation energy.",claude-4.6-sonnet-thinking,10.72,1,1,1,"The answer accurately explains the relationship between temperature and reaction rate using collision theory and activation energy, which fully satisfies the standard's requirements.","The answer correctly explains that raising temperature increases reaction rate by boosting particle speed, collision frequency, and the proportion of collisions exceeding activation energy, fully addressing the standard.","The answer correctly explains that higher temperature raises particle speed, collision frequency, and the fraction of collisions with sufficient energy, thereby increasing reaction rate.",1,0
HS-PS1-016,HS-PS1,HS-PS1-5,recall,"What is concentration, as it relates to a chemical solution?","Concentration is the amount of solute (dissolved substance) present in a given volume of solution, commonly expressed in moles per liter (mol/L or molarity).",claude-4.6-sonnet-thinking,9.55,1,1,1,"The answer accurately defines concentration in terms of solute and volume, providing the necessary conceptual basis for understanding how particle density affects reaction rates.","The answer correctly defines concentration as the amount of solute per volume of solution and notes the typical unit, which is accurate and sufficient for the high‑school standard.","The answer correctly defines concentration as the amount of solute per volume of solution and notes the common unit (molarity), meeting the question's requirement.",1,0
HS-PS1-017,HS-PS1,HS-PS1-5,recall,How does increasing the concentration of reactants affect the rate of a chemical reaction?,"Increasing the concentration of reactants increases the reaction rate because there are more reactant particles in the same volume, leading to more frequent collisions between them.",claude-4.6-sonnet-thinking,11.78,1,1,1,"The answer accurately explains that increasing concentration raises the reaction rate due to a higher frequency of particle collisions, satisfying the requirements of the HS-PS1-5 standard.","The answer correctly explains that higher concentration increases particle collision frequency, thereby raising the reaction rate, which satisfies the standard's requirement to explain concentration effects on reaction rate.","The answer correctly states that higher reactant concentration raises the reaction rate due to increased collision frequency, fully addressing the question.",1,0
