source,item_id,run,model,area,question_type,question,reference_answer,response,llm_Gemini Flash 3,llm_Nemotron 3 Super 120b a12,llm_OSS 120b,human_score,human_notes
groundtruth,HS-ESS1-091,,,HS-ESS1,applied,"If you drill rock samples at increasing distances from a mid-ocean ridge, how would you expect the ages of those rocks to change, and why?","The rocks get progressively older as you move away from the ridge, because new oceanic crust is continuously formed at the ridge by upwelling magma and then spreads outward. Rocks closest to the ridge are the youngest, while those farther away have been moving away from the spreading center for longer periods of time.",,1.0,1.0,1.0,,
groundtruth,HS-ESS1-059,,,HS-ESS1,applied,Astronomers observe a galaxy whose hydrogen absorption lines are all shifted to longer wavelengths. What does this tell us about how the universe is changing over time?,"The redshift indicates the galaxy is moving away from us, which is evidence that the universe is expanding. Since every distant galaxy shows this redshift, it supports the idea that space itself has been expanding since the Big Bang.",,1.0,1.0,1.0,,
groundtruth,HS-ESS1-071,,,HS-ESS1,applied,"If Earth's orbital radius were doubled to about 2 AU, how would its new orbital period compare to its current one-year period?","Using Kepler's third law, T² = a³, so T² = 2³ = 8, giving T ≈ 2.83 years. Earth's orbital period would be approximately 2.83 Earth years instead of 1 year.",,1.0,1.0,1.0,,
groundtruth,HS-ESS1-041,,,HS-ESS1,conceptual,Why does a star's core begin fusing heavier elements after it exhausts its hydrogen supply?,"When hydrogen is depleted, fusion energy stops and gravity compresses the core further, raising temperatures high enough to ignite the next fuel, helium. This sequence continues through progressively heavier elements in massive stars until iron forms and no more fusion energy can be extracted.",,1.0,1.0,1.0,,
groundtruth,HS-ESS1-030,,,HS-ESS1,conceptual,Why will the sun eventually run out of fuel and stop fusing hydrogen?,"The sun has a finite supply of hydrogen in its core, and fusion gradually converts that hydrogen into helium over billions of years. Once the hydrogen in the core is depleted, the core can no longer sustain the fusion reactions that produce the outward pressure needed to balance gravity.",,1.0,1.0,1.0,,
groundtruth,HS-ESS1-047,,,HS-ESS1,conceptual,Why doesn't a planet fly off into space even though it is constantly moving?,"The Sun's gravity continuously pulls the planet inward, acting as the centripetal force that curves the planet's path into a closed orbit. Because gravity exactly balances the tendency of the planet to travel in a straight line, the planet keeps orbiting rather than escaping.",,1.0,1.0,1.0,,
groundtruth,HS-ESS1-017,,,HS-ESS1,recall,What is Kepler's Third Law of planetary motion?,Kepler's Third Law states that the square of a planet's orbital period is proportional to the cube of its average distance from the Sun (T² ∝ a³).,,1.0,1.0,1.0,,
groundtruth,HS-ESS1-099,,,HS-ESS1,recall,What does the redshift of light from distant galaxies tell scientists about how the universe is changing?,"The redshift of light from distant galaxies indicates that those galaxies are moving away from us; the longer, redder wavelengths result from the Doppler effect as the source moves away. This tells scientists that the universe is expanding, which supports the Big Bang theory.",,1.0,1.0,1.0,,
groundtruth,HS-ESS1-026,,,HS-ESS1,recall,What is the name of the technique scientists use to determine the age of rocks and meteorites by measuring the decay of radioactive isotopes?,The technique is called radiometric dating (or radioactive dating). It works by measuring the ratio of a radioactive parent isotope to its stable daughter isotope and using the known half-life to calculate age.,,1.0,1.0,1.0,,
groundtruth,HS-ESS2-086,,,HS-ESS2,applied,A scientist measures rising CO₂ concentrations in the atmosphere each winter and falling concentrations each summer in the Northern Hemisphere. How does the carbon cycle explain this seasonal pattern?,"In summer, increased photosynthesis by plants and trees draws CO₂ out of the atmosphere, lowering its concentration; in winter, plant activity slows and decomposition continues releasing CO₂, causing concentrations to rise.",,1.0,1.0,1.0,,
