question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade
HS-PS1-001,HS-PS1,HS-PS1-1,recall,What are the electrons in the outermost energy level of an atom called?,The electrons in the outermost energy level are called valence electrons. They are the electrons most involved in chemical bonding and reactions.,claude-4.6-sonnet-thinking,8.54
HS-PS1-002,HS-PS1,HS-PS1-1,recall,What does the group number of a main-group element tell you about its valence electrons?,"For main-group elements, the group number tells you how many valence electrons the atom has. For example, elements in Group 1 have 1 valence electron, and elements in Group 17 have 7 valence electrons.",claude-4.6-sonnet-thinking,8.35
HS-PS1-003,HS-PS1,HS-PS1-1,recall,What is the term for the energy required to remove an electron from a neutral gaseous atom?,This energy is called ionization energy. It is the minimum energy needed to remove the most loosely held electron from an atom in its gaseous state.,claude-4.6-sonnet-thinking,10.48
HS-PS1-004,HS-PS1,HS-PS1-1,recall,"What name is given to the elements in Group 18 of the periodic table, and why are they considered stable?","The elements in Group 18 are called noble gases. They are considered stable because their outermost energy level is completely full, giving them little tendency to gain, lose, or share electrons.",claude-4.6-sonnet-thinking,9.91
HS-PS1-005,HS-PS1,HS-PS1-1,recall,What is electron affinity?,"Electron affinity is the energy change that occurs when a neutral gaseous atom gains an electron to form a negative ion. Elements with high electron affinity, such as halogens, readily attract additional electrons.",claude-4.6-sonnet-thinking,12.52
HS-PS1-006,HS-PS1,HS-PS1-2,recall,How many valence electrons does an element in Group 17 (the halogens) have?,"Elements in Group 17, the halogens, have seven valence electrons. Because they need only one more electron to complete their outer shell, halogens are highly reactive and tend to gain one electron in chemical reactions.",claude-4.6-sonnet-thinking,7.63
HS-PS1-007,HS-PS1,HS-PS1-3,recall,What does a substance's melting point tell you about the strength of the forces between its particles?,"A higher melting point indicates stronger electrical forces between particles, because more energy (heat) is required to overcome those attractions and change the substance from solid to liquid.",claude-4.6-sonnet-thinking,7.7
HS-PS1-008,HS-PS1,HS-PS1-3,recall,"What is a covalent network solid, and how does it differ from a molecular solid?","A covalent network solid (such as diamond or quartz) is a substance in which atoms are connected by covalent bonds throughout the entire structure, forming one giant network. A molecular solid, by contrast, consists of individual molecules held together by weaker intermolecular forces.",claude-4.6-sonnet-thinking,9.14
HS-PS1-009,HS-PS1,HS-PS1-3,recall,What is hydrogen bonding?,"Hydrogen bonding is a relatively strong type of intermolecular force that occurs when a hydrogen atom covalently bonded to a highly electronegative atom (such as N, O, or F) is attracted to a lone pair on another electronegative atom nearby.",claude-4.6-sonnet-thinking,6.62
HS-PS1-010,HS-PS1,HS-PS1-3,recall,"What property describes how well a solid resists being scratched, and how does it relate to the forces between particles?",Hardness describes a solid's resistance to scratching. Substances with stronger electrical forces between their particles (such as ionic solids or covalent network solids) are generally harder because more force is required to displace the tightly held particles.,claude-4.6-sonnet-thinking,10.5
HS-PS1-011,HS-PS1,HS-PS1-4,recall,Does breaking a chemical bond require energy or release energy?,Breaking a chemical bond requires energy (it is an endothermic process). Energy must be absorbed to overcome the attractive forces holding the two atoms together.,claude-4.6-sonnet-thinking,11.91
HS-PS1-012,HS-PS1,HS-PS1-4,recall,What is an exothermic reaction in terms of bond energy?,"An exothermic reaction is one in which the energy released by forming new bonds in the products is greater than the energy required to break the bonds in the reactants, resulting in a net release of energy to the surroundings.",claude-4.6-sonnet-thinking,8.37
HS-PS1-013,HS-PS1,HS-PS1-4,recall,What is the formula for calculating the overall energy change (ΔH) of a reaction using bond energies?,"ΔH = (total energy required to break reactant bonds) − (total energy released by forming product bonds). A negative ΔH indicates an exothermic reaction, while a positive ΔH indicates an endothermic reaction.",claude-4.6-sonnet-thinking,12.56
HS-PS1-014,HS-PS1,HS-PS1-5,recall,What is activation energy?,Activation energy is the minimum amount of energy that colliding particles must have in order to start a chemical reaction and form products.,claude-4.6-sonnet-thinking,12.52
HS-PS1-015,HS-PS1,HS-PS1-5,recall,How does increasing the temperature of a reaction generally affect its rate?,"Increasing temperature increases the reaction rate because particles move faster, collide more frequently, and more collisions have enough energy to meet or exceed the activation energy.",claude-4.6-sonnet-thinking,10.72
HS-PS1-016,HS-PS1,HS-PS1-5,recall,"What is concentration, as it relates to a chemical solution?","Concentration is the amount of solute (dissolved substance) present in a given volume of solution, commonly expressed in moles per liter (mol/L or molarity).",claude-4.6-sonnet-thinking,9.55
HS-PS1-017,HS-PS1,HS-PS1-5,recall,How does increasing the concentration of reactants affect the rate of a chemical reaction?,"Increasing the concentration of reactants increases the reaction rate because there are more reactant particles in the same volume, leading to more frequent collisions between them.",claude-4.6-sonnet-thinking,11.78
HS-PS1-018,HS-PS1,HS-PS1-6,recall,What is Le Chatelier's Principle?,"Le Chatelier's Principle states that if a stress (such as a change in concentration, temperature, or pressure) is applied to a system at equilibrium, the system will shift in the direction that counteracts the stress and re-establishes equilibrium.",claude-4.6-sonnet-thinking,5.24
HS-PS1-019,HS-PS1,HS-PS1-6,recall,"What is the equilibrium constant (K), and what does a value of K greater than 1 indicate?","The equilibrium constant (K) is a ratio of the concentrations of products to reactants at equilibrium, each raised to their stoichiometric coefficients. A K value greater than 1 indicates that products are favored at equilibrium.",claude-4.6-sonnet-thinking,9.09
